D0 Brightness -SAP,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15
71.9,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5
71.5,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5
70.6,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5
75.8,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5
75.4,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
76.2,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
73.8,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
71.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
72.4,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
71.3,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
73.8,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
74.2,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
73.3,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2,52.2
74.2,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2,52.2
72.1,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2,52.2
70.5,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2,52.2
70.1,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2,52.2
70.3,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2,52.2
72.4,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,52.2
75.4,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7
75.3,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7
74.1,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7,51.7
70.7,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7,51.7
